Image File Name,Image Location,Title of Work,Interpretive Text,Creator,Year,Subject/Theme
Journal_20_1024x1024,https://www.dropbox.com/s/k046i14jmlyga25/Journal_20_1024x1024.jpg?dl=0,Friends of Kebyar Cover,"Founded in January 1983, Friends of Kebyar is a non-profit corporation and an international network of people who advocate for the promotion and preservation of Organic Architecture, with an emphasis on the work and teachings of American architect, Bruce Alonzo Goff. The organization’s mission is to promote the creative legacy of Bruce Goff, advance the tenets of Organic Architecture, and to bring attention to the works of original artists of meaning, integrity, and respect for the natural environment. The primary means of achieving these goals is through the publication of the Friends of Kebyar Journal and the establishment of a network of practitioners who embody Kebyar's mission. ""Kebyar"" is a Balinese word literally meaning ""the process of flowering."" It also designates a style in Balinese music and art connoting strength and vigor. Bruce Goff chose ""Kebyar"" as the name for a school of creative arts and architecture he was planning at the time of his death.",Friends of Kebyar,October/November 1984,image (magazine cover) 
Journal_22_1024x1024,https://www.dropbox.com/s/ni4h8tplx7e07mt/Journal_22_1024x1024.jpg?dl=0,Friends of Kebyar Cover,"Founded in January 1983, Friends of Kebyar is a non-profit corporation and an international network of people who advocate for the promotion and preservation of Organic Architecture, with an emphasis on the work and teachings of American architect, Bruce Alonzo Goff. The organization’s mission is to promote the creative legacy of Bruce Goff, advance the tenets of Organic Architecture, and to bring attention to the works of original artists of meaning, integrity, and respect for the natural environment. The primary means of achieving these goals is through the publication of the Friends of Kebyar Journal and the establishment of a network of practitioners who embody Kebyar's mission. ""Kebyar"" is a Balinese word literally meaning ""the process of flowering."" It also designates a style in Balinese music and art connoting strength and vigor. Bruce Goff chose ""Kebyar"" as the name for a school of creative arts and architecture he was planning at the time of his death.",Friends of Kebyar,February/March/April 1985,image (magazine cover) 
Journal_25_1024x1024,https://www.dropbox.com/s/gf0p663hgnuemy9/Journal_25_1024x1024.jpg?dl=0,Friends of Kebyar Cover,"Founded in January 1983, Friends of Kebyar is a non-profit corporation and an international network of people who advocate for the promotion and preservation of Organic Architecture, with an emphasis on the work and teachings of American architect, Bruce Alonzo Goff. The organization’s mission is to promote the creative legacy of Bruce Goff, advance the tenets of Organic Architecture, and to bring attention to the works of original artists of meaning, integrity, and respect for the natural environment. The primary means of achieving these goals is through the publication of the Friends of Kebyar Journal and the establishment of a network of practitioners who embody Kebyar's mission. ""Kebyar"" is a Balinese word literally meaning ""the process of flowering."" It also designates a style in Balinese music and art connoting strength and vigor. Bruce Goff chose ""Kebyar"" as the name for a school of creative arts and architecture he was planning at the time of his death.",Friends of Kebyar,September/October 1985,image (magazine cover) 
Journal_40_1024x1024,https://www.dropbox.com/s/qik8ke0ijxrbj3h/Journal_40_1024x1024.jpg?dl=0,Friends of Kebyar Cover,"Founded in January 1983, Friends of Kebyar is a non-profit corporation and an international network of people who advocate for the promotion and preservation of Organic Architecture, with an emphasis on the work and teachings of American architect, Bruce Alonzo Goff. The organization’s mission is to promote the creative legacy of Bruce Goff, advance the tenets of Organic Architecture, and to bring attention to the works of original artists of meaning, integrity, and respect for the natural environment. The primary means of achieving these goals is through the publication of the Friends of Kebyar Journal and the establishment of a network of practitioners who embody Kebyar's mission. ""Kebyar"" is a Balinese word literally meaning ""the process of flowering."" It also designates a style in Balinese music and art connoting strength and vigor. Bruce Goff chose ""Kebyar"" as the name for a school of creative arts and architecture he was planning at the time of his death.",Friends of Kebyar,October/November 1988,image (magazine cover) 
Journal_44_1024x1024,https://www.dropbox.com/s/wj1u5iejq9oynpw/Journal_44_1024x1024.jpg?dl=0,Friends of Kebyar Cover,"Founded in January 1983, Friends of Kebyar is a non-profit corporation and an international network of people who advocate for the promotion and preservation of Organic Architecture, with an emphasis on the work and teachings of American architect, Bruce Alonzo Goff. The organization’s mission is to promote the creative legacy of Bruce Goff, advance the tenets of Organic Architecture, and to bring attention to the works of original artists of meaning, integrity, and respect for the natural environment. The primary means of achieving these goals is through the publication of the Friends of Kebyar Journal and the establishment of a network of practitioners who embody Kebyar's mission. ""Kebyar"" is a Balinese word literally meaning ""the process of flowering."" It also designates a style in Balinese music and art connoting strength and vigor. Bruce Goff chose ""Kebyar"" as the name for a school of creative arts and architecture he was planning at the time of his death.",Friends of Kebyar,October/November/Decemeber 1989,image (magazine cover) 
Journal_62_1024x1024,https://www.dropbox.com/s/w87nhv58r8gqvgq/Journal_62_1024x1024.jpg?dl=0,Friends of Kebyar Cover,"Founded in January 1983, Friends of Kebyar is a non-profit corporation and an international network of people who advocate for the promotion and preservation of Organic Architecture, with an emphasis on the work and teachings of American architect, Bruce Alonzo Goff. The organization’s mission is to promote the creative legacy of Bruce Goff, advance the tenets of Organic Architecture, and to bring attention to the works of original artists of meaning, integrity, and respect for the natural environment. The primary means of achieving these goals is through the publication of the Friends of Kebyar Journal and the establishment of a network of practitioners who embody Kebyar's mission. ""Kebyar"" is a Balinese word literally meaning ""the process of flowering."" It also designates a style in Balinese music and art connoting strength and vigor. Bruce Goff chose ""Kebyar"" as the name for a school of creative arts and architecture he was planning at the time of his death.",Friends of Kebyar,1997,image (magazine cover) 
Journal_66_1024x1024,https://www.dropbox.com/s/kb85ol3j1htj4k3/Journal_66_1024x1024.jpg?dl=0,Friends of Kebyar Cover,"Founded in January 1983, Friends of Kebyar is a non-profit corporation and an international network of people who advocate for the promotion and preservation of Organic Architecture, with an emphasis on the work and teachings of American architect, Bruce Alonzo Goff. The organization’s mission is to promote the creative legacy of Bruce Goff, advance the tenets of Organic Architecture, and to bring attention to the works of original artists of meaning, integrity, and respect for the natural environment. The primary means of achieving these goals is through the publication of the Friends of Kebyar Journal and the establishment of a network of practitioners who embody Kebyar's mission. ""Kebyar"" is a Balinese word literally meaning ""the process of flowering."" It also designates a style in Balinese music and art connoting strength and vigor. Bruce Goff chose ""Kebyar"" as the name for a school of creative arts and architecture he was planning at the time of his death.",Friends of Kebyar,2001,image (magazine cover) 
Journal_79_1024x1024,https://www.dropbox.com/s/le1fgdvz5otl28i/Journal_79_1024x1024.jpg?dl=0,Friends of Kebyar Cover,"Founded in January 1983, Friends of Kebyar is a non-profit corporation and an international network of people who advocate for the promotion and preservation of Organic Architecture, with an emphasis on the work and teachings of American architect, Bruce Alonzo Goff. The organization’s mission is to promote the creative legacy of Bruce Goff, advance the tenets of Organic Architecture, and to bring attention to the works of original artists of meaning, integrity, and respect for the natural environment. The primary means of achieving these goals is through the publication of the Friends of Kebyar Journal and the establishment of a network of practitioners who embody Kebyar's mission. ""Kebyar"" is a Balinese word literally meaning ""the process of flowering."" It also designates a style in Balinese music and art connoting strength and vigor. Bruce Goff chose ""Kebyar"" as the name for a school of creative arts and architecture he was planning at the time of his death.",Friends of Kebyar,Summer 2014,image (magazine cover) 
,,,,,,
Sooner Shamrock 1,https://www.dropbox.com/s/dz1eyntieynucuc/Selected%20Sooner%20Shamrock%201.png?dl=0,Sooner Shamrock cover,"Before becoming its own college, the Architecture department was housed under the University's College of Engineering. These selected covers of the college's newsletter showcase some of the nontraditional art styles of students within the department of Architecture. ",OU college of engineering,March 1953,image (magazine cover) 
Sooner Shamrock 2,https://www.dropbox.com/s/xeoeklxotrsd57s/Selected%20Sooner%20Shamrock%202.png?dl=0,Sooner Shamrock cover,"Before becoming its own college, the Architecture department was housed under the University's College of Engineering. These selected covers of the college's newsletter showcase some of the nontraditional art styles of students within the department of Architecture. ",OU college of engineering,May 1953,image (magazine cover) 
Sooner Shamrock 3,https://www.dropbox.com/s/l86e8cisjui9arf/Selected%20Sooner%20Shamrock%203.png?dl=0,Sooner Shamrock cover,"Before becoming its own college, the Architecture department was housed under the University's College of Engineering. These selected covers of the college's newsletter showcase some of the nontraditional art styles of students within the department of Architecture. ",OU college of engineering,March 1956,image (magazine cover) 
Sooner Shamrock 4,https://www.dropbox.com/s/usq9y0btrn2w8zd/Selected%20Sooner%20Shamrock%204.png?dl=0,Sooner Shamrock cover,"Before becoming its own college, the Architecture department was housed under the University's College of Engineering. These selected covers of the college's newsletter showcase some of the nontraditional art styles of students within the department of Architecture. ",OU college of engineering,May 1956,image (magazine cover) 
Sooner Shamrock 5,https://www.dropbox.com/s/ysuhmi2d5cuzjy5/Selected%20Sooner%20Shamrock%205.png?dl=0,Sooner Shamrock cover,"Before becoming its own college, the Architecture department was housed under the University's College of Engineering. These selected covers of the college's newsletter showcase some of the nontraditional art styles of students within the department of Architecture. ",OU college of engineering,December 1956,image (magazine cover) 
Sooner Shamrock 6,https://www.dropbox.com/s/be1b5zu8reeczg3/Selected%20Sooner%20Shamrock%206.png?dl=0,Sooner Shamrock cover,"Before becoming its own college, the Architecture department was housed under the University's College of Engineering. These selected covers of the college's newsletter showcase some of the nontraditional art styles of students within the department of Architecture. ",OU college of engineering,December 1951,image (magazine cover) 
Sooner Shamrock 7,https://www.dropbox.com/s/bcw8qmcm79hkhuf/Selected%20Sooner%20Shamrock%207.png?dl=0,Sooner Shamrock cover,"Before becoming its own college, the Architecture department was housed under the University's College of Engineering. These selected covers of the college's newsletter showcase some of the nontraditional art styles of students within the department of Architecture. ",OU college of engineering,March 1954,image (magazine cover) 
Sooner Shamrock 8,https://www.dropbox.com/s/vdn3o0atrzjdabt/Selected%20Sooner%20Shamrock%208.png?dl=0,Sooner Shamrock cover,"Before becoming its own college, the Architecture department was housed under the University's College of Engineering. These selected covers of the college's newsletter showcase some of the nontraditional art styles of students within the department of Architecture. ",OU college of engineering,October 1953,image (magazine cover) 
Sooner Shamrock 9,https://www.dropbox.com/s/lmuztx071s1fr2r/Selected%20Sooner%20Shamrock%209.png?dl=0,Sooner Shamrock cover,"Before becoming its own college, the Architecture department was housed under the University's College of Engineering. These selected covers of the college's newsletter showcase some of the nontraditional art styles of students within the department of Architecture. ",OU college of engineering,October 1954,image (magazine cover) 
Sooner Shamrock 10,https://www.dropbox.com/s/jwcjsr0yog0rjve/Selected%20Sooner%20Shamrock%2010.png?dl=0,Sooner Shamrock cover,"Before becoming its own college, the Architecture department was housed under the University's College of Engineering. These selected covers of the college's newsletter showcase some of the nontraditional art styles of students within the department of Architecture. ",OU college of engineering,Dec-Jan,image (magazine cover) 
Sooner Shamrock 11,https://www.dropbox.com/s/jnuye4t9lx7kv0t/Selected%20Sooner%20Shamrock%2011.png?dl=0,Sooner Shamrock cover,"Before becoming its own college, the Architecture department was housed under the University's College of Engineering. These selected covers of the college's newsletter showcase some of the nontraditional art styles of students within the department of Architecture. ",OU college of engineering,April 1955,image (magazine cover) 
Sooner Shamrock 12,https://www.dropbox.com/s/t6gassimskgskjz/Selected%20Sooner%20Shamrock%2012.png?dl=0,Sooner Shamrock cover,"Before becoming its own college, the Architecture department was housed under the University's College of Engineering. These selected covers of the college's newsletter showcase some of the nontraditional art styles of students within the department of Architecture. ",OU college of engineering,May 1955,image (magazine cover) 
Sooner Shamrock 13 ,https://www.dropbox.com/s/8pf1hr9ap3tgxkf/Selected%20Sooner%20Shamrock%2013.png?dl=0,Sooner Shamrock cover,"Before becoming its own college, the Architecture department was housed under the University's College of Engineering. These selected covers of the college's newsletter showcase some of the nontraditional art styles of students within the department of Architecture. ",OU college of engineering,October 1955,image (magazine cover) 
